"","X","ofcrec_cj_correct","ofcrec_vp_correct","ofcrec_speaker_correct","knowl_housemaj","knowl_senmaj","mode","validated_vote","dem_raceeth_x","gender_respondent_x","dem_edugroup_x","dem_eduspgroup_x","interest_attention","dem_age_r_x","justice_roberts","vp_biden","speaker_boehner","majority_house","majority_senate","mode_ftf","validated_voter16","race","female","college","spouse_educ","news_interest","age_cat6","pol_knowledge","treat","vote","v"
"117",304,0.5,1,0,2,1,"1. FTF (face-to-face) mode",0,1,"2. Female",3,5,2,84,1,1,0,1,1,1,0,1,1,1,2,3,6,4,3,0,1
"118",318,0,1,0,2,1,"1. FTF (face-to-face) mode",1,1,"2. Female",2,NA,1,49,0,1,0,1,1,1,1,1,1,0,NA,3,4,3,2,1,1
"119",327,0,1,0,1,2,"1. FTF (face-to-face) mode",0,1,"2. Female",2,NA,2,70,0,1,0,0,0,1,0,1,1,0,NA,3,6,1,0,0,1
"120",328,0,1,0,1,2,"1. FTF (face-to-face) mode",1,1,"2. Female",2,NA,2,70,0,1,0,0,0,1,1,1,1,0,NA,3,6,1,0,1,1
"121",329,0,1,0,1,2,"1. FTF (face-to-face) mode",1,1,"2. Female",2,NA,2,70,0,1,0,0,0,1,1,1,1,0,NA,3,6,1,0,1,1
"122",330,0,1,0,1,2,"1. FTF (face-to-face) mode",1,1,"2. Female",2,NA,2,70,0,1,0,0,0,1,1,1,1,0,NA,3,6,1,0,1,1
"123",331,0,1,0,1,2,"1. FTF (face-to-face) mode",0,1,"2. Female",2,NA,2,70,0,1,0,0,0,1,0,1,1,0,NA,3,6,1,0,0,1
"124",332,0,1,0,1,2,"1. FTF (face-to-face) mode",0,1,"2. Female",2,NA,2,70,0,1,0,0,0,1,0,1,1,0,NA,3,6,1,0,0,1
"125",333,0,1,0,1,2,"1. FTF (face-to-face) mode",0,1,"2. Female",2,NA,2,70,0,1,0,0,0,1,0,1,1,0,NA,3,6,1,0,0,1
"126",334,0,1,0,1,2,"1. FTF (face-to-face) mode",1,1,"2. Female",2,NA,2,70,0,1,0,0,0,1,1,1,1,0,NA,3,6,1,0,1,1
"127",335,0.5,1,1,1,2,"1. FTF (face-to-face) mode",1,1,"1. Male",2,3,1,43,1,1,1,0,0,1,1,1,0,0,1,3,3,3,2,1,1
