"","X","V162076a","V162076b","V162072","V162073a","V162073b","V161515","V161516","V160501","V162062x","vote2016","V161310x","V161342","V161270","V161272","V161003","V161267c","justice_roberts","vp_biden","speaker_ryan","majority_house","majority_senate","mode_ftf","validated_vote","race","female","college","spouse_educ","news_interest","dem_age_r_x","age_cat6","pol_knowledge","treat","vote","v"
"861",1007,0,0,0,0,0,2,2,"1. FTF/CASI",-2,0,1,1,9,9,"5. Never",1983,0,0,0,1,1,1,0,1,0,0,0,1,33,2,2,1,0,0
"862",1008,0,0,1,1,1,2,2,"1. FTF/CASI",2,1,1,1,12,9,"1. Always",1943,0,1,1,1,1,1,1,1,0,1,0,5,73,6,4,3,1,3
"863",1009,0,0,1,1,1,2,2,"1. FTF/CASI",1,0,1,1,11,9,"1. Always",1946,0,1,1,1,1,1,0,1,0,1,0,5,70,6,4,3,0,3
"864",1010,1,1,1,1,1,2,2,"1. FTF/CASI",1,1,5,2,16,13,"2. Most of the time",1963,1,1,1,1,1,1,1,3,1,1,2,4,53,4,5,4,1,2
"865",1011,0,0,1,0,0,2,2,"1. FTF/CASI",-9,0,2,2,10,NA,"4. Some of the time",1979,0,1,0,1,1,1,0,2,1,1,NA,2,37,3,3,2,0,0
"866",1012,0,0,1,1,1,2,1,"1. FTF/CASI",2,1,1,2,9,9,"2. Most of the time",1937,0,1,1,1,0,1,1,1,1,0,0,4,79,6,3,2,1,2
"867",1014,0,0,1,0,0,1,1,"1. FTF/CASI",2,1,1,1,9,9,"3. About half the time",1956,0,1,0,0,0,1,1,1,0,0,0,3,60,5,1,0,1,1
"868",1015,0,0,1,1,1,2,2,"1. FTF/CASI",1,0,1,1,10,9,"4. Some of the time",1940,0,1,1,1,1,1,0,1,0,1,0,2,76,6,4,3,0,0
"869",1016,0,0,1,1,1,1,1,"1. FTF/CASI",1,1,5,1,9,9,"2. Most of the time",1946,0,1,1,0,0,1,1,3,0,0,0,4,70,6,2,1,1,2
"870",1018,0,0,1,0,0.5,2,2,"1. FTF/CASI",2,1,1,2,13,16,"1. Always",1944,0,1,1,1,1,1,1,1,1,1,2,5,72,6,4,3,1,3
"871",1019,0,0,0,0,0,2,2,"1. FTF/CASI",-8,1,1,2,12,13,"4. Some of the time",1966,0,0,0,1,1,1,1,1,1,1,2,2,50,4,2,1,1,0
"872",1020,0,0,1,0,0,2,1,"1. FTF/CASI",-2,1,5,2,10,NA,"3. About half the time",1982,0,1,0,1,0,1,1,3,1,1,NA,3,34,2,2,1,1,1
"873",1021,0,0,0,0,0,1,1,"1. FTF/CASI",2,1,1,2,6,NA,"3. About half the time",1970,0,0,0,0,0,1,1,1,1,0,NA,3,46,4,0,0,1,1
"874",1022,0.5,0,1,0,0.5,2,2,"1. FTF/CASI",2,1,1,1,10,8,"1. Always",1948,1,1,1,1,1,1,1,1,0,1,0,5,68,6,5,4,1,3
"875",1023,0,0,1,0,0,1,1,"1. FTF/CASI",1,1,2,2,13,NA,"4. Some of the time",1991,0,1,0,0,0,1,1,2,1,1,NA,2,25,2,1,0,1,0
"876",1024,0,0,1,1,1,2,1,"1. FTF/CASI",2,1,1,1,9,10,"4. Some of the time",1945,0,1,1,1,0,1,1,1,0,0,1,2,71,6,3,2,1,0
